"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AHEI1",1,863,3.43418668435456,1.13460599231209,3.40123309940114,3.40528170869039,1.13332404500932,0.909973016617147,8.40649240406561,7.49651938744846,0.292236636269885,-0.0709851477085142,0.0386224371444105
"AHEI2",2,863,1.80021158599491,1.14301749883982,1.41922698145366,1.64257352933568,0.808769332860518,0.348033843921544,7.64437804648507,7.29634420256353,1.48474556114002,2.65224626862839,0.0389087681565488
"AHEI3",3,863,2.97786586669436,2.21891655692547,2.41497292211856,2.70843571893578,2.21507993603241,0.353933207121561,10,9.64606679287844,0.944876310792903,0.342021313820424,0.0755327980190789
"AHEI4",4,863,0.14868543618663,0.637304638867998,0,0,0,0,5.12542179158461,5.12542179158461,4.57776964120783,21.0871382077615,0.0216941022022647
"AHEI5",5,863,5.14824291828654,2.37036084533213,4.69265061897503,4.95019589188607,2.30102315737907,1.06905751592137,10,8.93094248407863,0.613701849066772,-0.629290188555736,0.0806880215499775
"AHEI6",6,863,2.59103839407672,2.04693477201685,2.54754655999282,2.47855027147008,2.75438428434721,0,7.3491664284202,7.3491664284202,0.226868243737394,-1.13529464015384,0.0696784699768999
"AHEI7",7,863,7.49511166900315,0.728572512161621,7.53913637408374,7.51929054657175,0.739051607216758,4.47198181217025,9.48796177252602,5.01597996035577,-0.340171057618335,0.0557699274243251,0.0248008967401675
"AHEI8",8,863,3.38899099519963,1.24697775248804,3.20361634851261,3.27572985793145,1.10671773387723,1.00164288035212,9.95494152884392,8.9532986484918,1.23866730693417,2.9511585759037,0.0424476163463623
"AHEI9",9,863,6.27068172731653,0.925624667378896,6.2121290664362,6.24824327512684,0.904116816851396,3.66842382747725,10,6.33157617252275,0.27656642042376,0.369627856451331,0.0315086301124731
"AHEI10",10,863,5.03461367233436,2.45014661478093,5.11212401422067,5.0872819968477,2.70494148351826,0,10,10,-0.147799887098802,-0.66172799058309,0.0834039607274846
"AHEI11",11,863,5.37377093214942,2.23998435443746,4.44988246058045,5.13234438763803,1.65377788533257,0,10,10,0.741748457943908,-0.382020648948589,0.0762499541866747
