"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"GPAQ_WORK_VIG",1,863,32.128786624731,83.0046329151232,0,8.55695679139964,0,0,514.285714285714,514.285714285714,3.0331102121874,9.18380527228497,2.82551056417952
"GPAQ_WORK_MOD",2,863,56.794404899851,108.852517019955,0,29.1409964854248,0,0,617.142857142857,617.142857142857,2.25552715819082,4.881589853509,3.70538277172933
"GPAQ_TRSPORT",3,863,37.1741433537494,75.6362149338901,8.57142857142857,18.6043001860657,12.708,0,600,600,3.70228926083155,16.6955280270554,2.57468669910017
"GPAQ_REC_VIG",4,863,27.6642939910611,48.6149740259905,0,16.5143684101716,0,0,390,390,2.83201060559406,10.7162635122057,1.65487296146722
"GPAQ_REC_MOD",5,863,18.6881311041218,41.7308781756312,0,9.27330990283233,0,0,540,540,5.14549377675664,43.6657366932813,1.42053561345552
